"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"DIP-8_W7.62mm";1;"ATtiny85-20P";;;
2;"R6,R5";"R_1206_3216Metric";2;"rb";;;
3;"Q1,Q2";"SOT-23";2;"TIP41A";;;
4;"R3,R4";"R_1206_3216Metric";2;"rm";;;
5;"C2";"CP_Elec_4x5.4";1;"1 uF";;;
6;"R2";"R_0805_2012Metric";1;"1kΩ";;;
7;"R1";"R_1206_3216Metric";1;"240Ω";;;
8;"RV1";"PTV09A4030SA503";1;"R_Potentiometer";;;
9;"M2,M1,battery";"PinHeader_1x02_P2.54mm_Vertical";3;"vib_mot";;;
10;"C1";"CP_Elec_4x5.4";1;"0.1 uF";;;
11;"U1";"SOT-223-3_TabPin2";1;"LM317M_SOT-223";;;
